year,scenario,age_band,metric,incidence_per1000,ci_lo,ci_hi,pct_reduction_vs_BAU,red_lo,red_hi
2025,SMC-4 (U10),10-15,severe,1.6,0.0,6.1,,,
2025,SMC-4 (U10),U15,severe,4.4,0.0,9.0,,,
2025,SMC-4 (U15),U5,severe,9.7,1.2,21.7,,,
2025,SMC-4 (U15),5-10,severe,1.1,0.0,7.1,,,
2025,SMC-4 (U15),10-15,severe,0.4,0.0,3.9,,,
2025,SMC-4 (U15),U15,severe,4.3,1.1,8.7,,,
2025,SMC-5 (U10),U5,severe,4.9,0.0,15.0,,,
2025,SMC-5 (U10),5-10,severe,0.2,0.0,3.7,,,
2025,SMC-5 (U10),10-15,severe,1.1,0.0,4.4,,,
2025,SMC-5 (U10),U15,severe,2.3,0.0,6.1,,,
2025,SMC-5 (U15),U5,severe,4.8,0.0,11.9,,,
2025,SMC-5 (U15),5-10,severe,0.5,0.0,3.6,,,
2025,SMC-5 (U15),10-15,severe,0.2,0.0,4.0,,,
2025,SMC-5 (U15),U15,severe,2.1,0.0,6.0,,,
2026,BAU: SMC-4 (U5),U5,severe,8.6,1.4,18.8,,,
2026,BAU: SMC-4 (U5),5-10,severe,3.8,0.0,13.1,,,
2026,BAU: SMC-4 (U5),10-15,severe,1.4,0.0,8.9,,,
2026,BAU: SMC-4 (U5),U15,severe,5.0,1.3,9.3,,,
2026,SMC-5 (U5),U5,severe,6.0,0.0,17.3,,,
2026,SMC-5 (U5),5-10,severe,2.6,0.0,8.0,,,
2026,SMC-5 (U5),10-15,severe,1.1,0.0,4.9,,,
2026,SMC-5 (U5),U15,severe,3.5,0.6,7.3,3.8,-199.5,93.2
2026,SMC-4 (U10),U5,severe,9.0,0.0,22.1,,,
2026,SMC-4 (U10),5-10,severe,0.7,0.0,4.0,,,
2026,SMC-4 (U10),10-15,severe,0.6,0.0,4.6,,,
2026,SMC-4 (U10),U15,severe,3.9,0.0,8.5,-0.9,-203.1,100.0
2026,SMC-4 (U15),U5,severe,8.9,0.0,19.7,,,
2026,SMC-4 (U15),5-10,severe,1.3,0.0,7.2,,,
2026,SMC-4 (U15),10-15,severe,0.5,0.0,4.9,,,
2026,SMC-4 (U15),U15,severe,4.0,0.5,8.5,-2.0,-203.1,94.0
2026,SMC-5 (U10),U5,severe,4.2,0.0,12.9,,,
2026,SMC-5 (U10),5-10,severe,0.7,0.0,4.0,,,
2026,SMC-5 (U10),10-15,severe,1.3,0.0,9.1,,,
2026,SMC-5 (U10),U15,severe,2.2,0.0,5.6,38.0,-143.4,100.0
2026,SMC-5 (U15),U5,severe,4.1,0.0,10.6,,,
2026,SMC-5 (U15),5-10,severe,0.9,0.0,5.8,,,
2026,SMC-5 (U15),10-15,severe,0.4,0.0,4.5,,,
2026,SMC-5 (U15),U15,severe,2.0,0.0,4.8,45.5,-80.3,100.0
2027,BAU: SMC-4 (U5),U5,severe,10.1,0.0,23.4,,,
2027,BAU: SMC-4 (U5),5-10,severe,2.4,0.0,12.5,,,
2027,BAU: SMC-4 (U5),10-15,severe,0.6,0.0,4.6,,,
2027,BAU: SMC-4 (U5),U15,severe,4.9,0.0,10.2,,,
2027,SMC-5 (U5),U5,severe,6.0,0.0,17.5,,,
2027,SMC-5 (U5),5-10,severe,2.3,0.0,8.8,,,
2027,SMC-5 (U5),10-15,severe,0.7,0.0,4.8,,,
2027,SMC-5 (U5),U15,severe,3.3,0.0,8.1,,,
2027,SMC-4 (U10),U5,severe,8.4,0.0,20.8,,,
2027,SMC-4 (U10),5-10,severe,1.0,0.0,8.8,,,
2027,SMC-4 (U10),10-15,severe,0.9,0.0,4.4,,,
2027,SMC-4 (U10),U15,severe,3.9,0.0,9.1,,,
2027,SMC-4 (U15),U5,severe,9.3,0.0,28.1,,,
