year,scenario,age_band,metric,incidence_per1000,ci_lo,ci_hi,pct_reduction_vs_BAU,red_lo,red_hi
2027,BAU: SMC-4 (U5),U15,severe,4.3,1.0,8.5,,,
2027,SMC-5 (U5),U5,severe,6.7,0.0,20.0,,,
2027,SMC-5 (U5),5-10,severe,3.0,0.0,12.7,,,
2027,SMC-5 (U5),10-15,severe,1.0,0.0,7.3,,,
2027,SMC-5 (U5),U15,severe,3.9,0.0,10.8,,,
2027,SMC-4 (U10),U5,severe,10.7,1.2,23.2,,,
2027,SMC-4 (U10),5-10,severe,0.6,0.0,5.0,,,
2027,SMC-4 (U10),10-15,severe,0.9,0.0,9.0,,,
2027,SMC-4 (U10),U15,severe,4.7,1.0,10.3,,,
2027,SMC-4 (U15),U5,severe,11.1,0.0,24.1,,,
2027,SMC-4 (U15),5-10,severe,1.1,0.0,6.6,,,
2027,SMC-4 (U15),10-15,severe,0.7,0.0,4.3,,,
2027,SMC-4 (U15),U15,severe,4.9,1.0,10.3,,,
2027,SMC-5 (U10),U5,severe,5.5,0.0,11.0,,,
2027,SMC-5 (U10),5-10,severe,0.4,0.0,3.3,,,
2027,SMC-5 (U10),10-15,severe,1.3,0.0,7.5,,,
2027,SMC-5 (U10),U15,severe,2.7,0.0,6.0,,,
2027,SMC-5 (U15),U5,severe,6.5,0.0,16.3,,,
2027,SMC-5 (U15),5-10,severe,0.2,0.0,3.2,,,
2027,SMC-5 (U15),10-15,severe,0.5,0.0,4.0,,,
2027,SMC-5 (U15),U15,severe,2.8,0.0,7.4,,,
