day,30-day Avg Infection Duration,Adult Vectors,Air Temperature,Avg Num Infections,Births,Blood Smear Gametocyte Prevalence,Blood Smear Parasite Prevalence,Campaign Cost,Daily Bites per Human,Daily EIR,Disease Deaths,Fever Prevalence,Human Infectious Reservoir,Infected,Infectious Vectors,Land Temperature,Log Prevalence,Mean Parasitemia,New Clinical Cases,New Infections,New Severe Cases,Newly Symptomatic,PCR Gametocyte Prevalence,PCR Parasite Prevalence,PfHRP2 Prevalence,Rainfall,Relative Humidity,Statistical Population,Symptomatic Population,True Prevalence,Variant Fraction-PfEMP1 Major
44,0.0,849,28.10799980164,1.0,2,0.09880239516497,0.09880239516497,0,0.1167664676905,0.001996007980779,0,0.0,5.661305112881e-05,0.1027944087982,0.01766784489155,28.10799980164,-0.9880304932594,336.2320251465,0,2,0,0,0.09880239516497,0.09880239516497,0.09880239516497,0.1180000007153,0.2090850025415,1002,0,0.09880239516497,0.00166676111985
45,0.0,838,28.18300056458,1.0,2,0.09880239516497,0.07385229319334,0,0.2095808386803,0.002994012087584,0,0.0,6.842563743703e-05,0.1047904193401,0.02744629979134,28.18300056458,-0.9796783924103,60.34025192261,0,3,0,0,0.09880239516497,0.09880239516497,0.09880239516497,0.1264999955893,0.2131550014019,1002,0,0.09880239516497,0.00166676111985
46,0.0,807,28.67900085449,1.0,2,0.09880239516497,0.07185629010201,0,0.2475049942732,0.004990019835532,0,0.0,5.976354805171e-05,0.1077844277024,0.0260223057121,28.67900085449,-0.9674440026283,66.51568603516,0,5,0,4,0.09880239516497,0.09880239516497,0.09880239516497,0.2370000034571,0.2149949967861,1002,0,0.09880239516497,0.001667693839408
47,0.0,770,28.93300056458,1.0,2,0.09880239516497,0.0109780440107,0,0.1127744466066,0.003992015961558,0,0.0,7.582693069708e-05,0.1127744540572,0.02467532455921,28.93300056458,-0.9477892518044,54.07948684692,0,6,0,2,0.09880239516497,0.09780438989401,0.09880239516497,0.02999999932945,0.2193049937487,1002,0,0.09880239516497,0.001667693839408
48,0.0,723,29.24349975586,1.0,2,0.09880239516497,0.01996007934213,0,0.1836327314377,0.003992015961558,0,0.0,6.819800182711e-05,0.1187624782324,0.02904564328492,29.24349975586,-0.9253207445145,114.3038330078,0,6,0,5,0.09880239516497,0.09481038153172,0.09880239516497,0.5055000185966,0.2196899950504,1002,0,0.09880239516497,0.001672357437201
49,0.0,744,29.56649971008,1.007874011993,2,0.09880239516497,0.01596806384623,0,0.1796407103539,0.003992015961558,0,0.0,7.428719254676e-05,0.1247505024076,0.02956989221275,29.56649971008,-0.9039577245712,152.1025085449,0,3,0,2,0.09880239516497,0.08782435208559,0.09880239516497,0.1829999983311,0.2669099867344,1002,0,0.09880239516497,0.001672357437201
50,0.0,741,29.88949966431,1.007874011993,2,0.09680638462305,0.0219560880214,0,0.1287425160408,0.001996007980779,0,0.0,6.611808930757e-05,0.1267465054989,0.02834008075297,29.88949966431,-0.8970639705658,402.4924621582,0,0,0,0,0.09880239516497,0.09381237626076,0.09880239516497,0.7329999804497,0.2848699986935,1002,0,0.1027944087982,0.001714329235256
51,0.0,773,29.62999916077,1.007575750351,2,0.09780438989401,0.01696606725454,0,0.1906187534332,0.003992015961558,0,0.0,6.326827133307e-05,0.1267465054989,0.02716688252985,29.62999916077,-0.8970639705658,701.2036132812,0,5,0,3,0.09880239516497,0.08882235735655,0.09880239516497,0.4194999933243,0.2759500145912,1002,0,0.1047904193401,0.00172365643084
52,0.0,743,29.82449913025,1.007518768311,3,0.09580838680267,0.03393213450909,0,0.2055888175964,0.0009980039903894,0,0.0,5.380490620155e-05,0.1317365318537,0.03499327227473,29.82449913025,-0.8802937865257,380.3609313965,0,1,0,1,0.09880239516497,0.08882235735655,0.09880239516497,0.00650000013411,0.2383950054646,1002,0,0.1077844277024,0.001752570737153
53,0.0,703,29.86650085449,1.007462739944,3,0.09371884167194,0.02492522448301,0,0.1076769679785,0.001994017977268,0,0.0,4.71083476441e-05,0.1326021999121,0.0526315793395,29.86650085449,-0.8774492740631,593.4100952148,0,1,0,0,0.09870389103889,0.08773679286242,0.09870389103889,0.04650000110269,0.2127149999142,1003,0,0.1126620173454,0.001774117932655
54,0.0,667,29.70700073242,1.014084458351,3,0.08574277162552,0.04885343834758,0,0.1555334031582,0.009970089420676,0,0.0,3.925448982045e-05,0.1335992068052,0.06446776539087,29.70700073242,-0.8741961121559,320.868347168,0,9,0,9,0.09870389103889,0.1026919260621,0.09870389103889,0.2354999929667,0.219775006175,1003,0,0.118644066155,0.001827229163609
55,0.0,636,29.9344997406,1.032467484474,3,0.09072781354189,0.03190428763628,0,0.1844466626644,0.01296111661941,0,0.0,3.358386311447e-05,0.1415752768517,0.06918238848448,29.9344997406,-0.8490125536919,461.1464233398,0,15,0,6,0.09870389103889,0.1056829541922,0.09870389103889,0.2709999978542,0.2292149960995,1003,0,0.1246261224151,0.001855182694271
56,0.0,665,30.08300018311,1.044303774834,3,0.08673977851868,0.06081754714251,0,0.1026919260621,0.004985044710338,0,0.0,2.775180291792e-05,0.1535393744707,0.0691729336977,30.08300018311,-0.8137802481651,262.3162841797,0,6,0,1,0.09870389103889,0.1116650030017,0.09870389103889,0.1825000047684,0.2810299992561,1003,0,0.126620143652,0.001884067896754
57,0.0,842,30.44549942017,1.075471639633,3,0.08275174349546,0.05284147709608,0,0.1555334031582,0.006979062687606,0,0.0,2.224714262411e-05,0.1575274169445,0.0534441806376,30.44549942017,-0.8026438355446,185.6918640137,0,6,0,3,0.09870389103889,0.1136590242386,0.09870389103889,0.1420000046492,0.2627300024033,1003,0,0.126620143652,0.001884067896754
58,0.0,1106,30.24650001526,1.097561001778,4,0.08275174349546,0.07178464531898,0,0.2901296019554,0.01096709817648,0,0.0,1.727303060761e-05,0.1585244238377,0.03978300094604,30.24650001526,-0.7999038100243,253.6386413574,0,9,0,5,0.09870389103889,0.121635094285,0.09870389103889,0.1159999966621,0.2381200045347,1003,0,0.1316051781178,0.001927861827426
59,0.0,1146,30.27899932861,1.103030323982,4,0.07768924534321,0.06474103778601,0,0.3037848472595,0.004980079829693,0,0.0,1.356844131806e-05,0.1633466184139,0.04188481718302,30.27899932861,-0.7868898510933,132.8199768066,0,2,0,0,0.09860558062792,0.1195219159126,0.1015936285257,0.2395000010729,0.2563599944115,1004,0,0.1324701160192,0.001932457671501
60,0.0,1337,30.67250061035,1.122093081474,4,0.06474103778601,0.08067729324102,0,0.2121514081955,0.0129482075572,0,0.0,1.027465441439e-05,0.1643426269293,0.03664921596646,30.67250061035,-0.7842497825623,269.1737060547,0,11,0,6,0.09860558062792,0.1254980117083,0.1045816764235,0.05299999937415,0.2414350062609,1004,0,0.1334661394358,0.001971553079784
61,0.0,1254,30.62949943542,1.152542352676,4,0.04780876636505,0.08466135710478,0,0.3844621479511,0.009960159659386,0,0.001992031931877,8.292730854009e-06,0.1713147461414,0.03907496109605,30.62949943542,-0.7662052512169,139.9873657227,1,11,0,6,0.09860558062792,0.129482075572,0.1065737083554,0.03700000047684,0.2343849986792,1004,0,0.1414342671633,0.002022750442848
62,0.0,1756,30.90049934387,1.1564245224,4,0.0388446226716,0.09262948483229,0,0.2460159361362,0.007968127727509,0,0.005976095795631,6.274475708778e-06,0.1762948185205,0.02904327958822,30.90049934387,-0.7537604570389,291.3176269531,4,3,0,2,0.09860558062792,0.1404382437468,0.1115537881851,0.0434999987483,0.2437500059605,1004,0,0.1533864587545,0.002125144237652
63,0.0,1761,30.98150062561,1.17486333847,4,0.03784860670567,0.07768924534321,0,0.5149402618408,0.01095617562532,0,0.005976095795631,5.828636403749e-06,0.1782868504524,0.02782509848475,30.98150062561,-0.7488806843758,292.4856872559,1,8,0,2,0.09860558062792,0.1374502032995,0.1195219159126,0.09049999713898,0.2389100044966,1004,0,0.1573705226183,0.002176341367885
64,0.0,2458,31.13899993896,1.186170220375,4,0.02390438318253,0.09760956466198,0,0.3994024097919,0.01095617562532,0,0.0129482075572,4.438084033609e-06,0.1822709143162,0.01790073141456,31.13899993896,-0.7392826080322,428.1969299316,4,8,0,3,0.09860558062792,0.1474103629589,0.1245019957423,0.0625,0.2235800027847,1004,0,0.1583665311337,0.002249879296869
65,0.0,2596,31.20649909973,1.184210538864,4,0.02390438318253,0.0826693251729,0,0.6932270526886,0.005976095795631,0,0.01693227142096,5.023158792028e-06,0.1872510015965,0.01617873646319,31.20649909973,-0.7275758385658,437.0377197266,9,2,0,1,0.09960159659386,0.1533864587545,0.1254980117083,0.1389999985695,0.2299699932337,1004,0,0.1633466184139,0.002329932758585
66,0.0,2424,31.17600059509,1.19095480442,4,0.01792828738689,0.1045816764235,0,0.6344621181488,0.009960159659386,0,0.02390438318253,3.821161499218e-06,0.1892430335283,0.01691419072449,31.17600059509,-0.7229800820351,510.427734375,5,12,0,4,0.1005976125598,0.1563744992018,0.1274900436401,0.03350000083447,0.2274899929762,1004,0,0.1643426269293,0.002380199031904
67,0.0,2312,31.21599960327,1.222772240639,5,0.01494023948908,0.08167330920696,0,0.3247011899948,0.009960159659386,0,0.01892430335283,4.488999366004e-06,0.1982071697712,0.0185986161232,31.21599960327,-0.7028806209564,685.7733154297,2,10,1,7,0.09860558062792,0.1583665311337,0.129482075572,0.1199999973178,0.2397049963474,1004,0,0.1713147461414,0.002442566212267
68,0.0,2474,31.27549934387,1.219512224197,5,0.01890547201037,0.1273631900549,0,0.5890547037125,0.003980099689215,0,0.01990049704909,3.450477834122e-06,0.200995028019,0.01657235249877,31.27549934387,-0.6968146562576,433.5649108887,2,3,0,2,0.1074626892805,0.1671641767025,0.1303482651711,0.1840000003576,0.2556799948215,1005,0,0.176119402051,0.002522899536416
69,0.0,2479,31.16200065613,1.222222208977,5,0.01492537278682,0.1014925390482,0,0.7044776082039,0.006965174339712,0,0.01791044697165,3.778904783758e-06,0.2039801031351,0.01532876119018,31.16200065613,-0.6904121637344,636.2894897461,1,3,0,1,0.1074626892805,0.1701492518187,0.1263681650162,0.07450000196695,0.2574599981308,1005,0,0.1781094521284,0.002546147909015
70,0.0,2401,31.42250061035,1.241706132889,6,0.01492537278682,0.1373134255409,0,0.42189052701,0.007960199378431,0,0.02089552208781,2.891775920943e-06,0.2059701532125,0.01416076626629,31.42250061035,-0.686195731163,697.8832397461,5,9,0,1,0.1114427894354,0.1731343269348,0.1333333402872,0.8874999880791,0.2896600067616,1005,0,0.1820895522833,0.002621472114697
71,0.0,2325,31.35300064087,1.241706132889,6,0.01888667978346,0.1242544725537,0,0.5168986320496,0.0009940357413143,0,0.01789264380932,2.97667884297e-06,0.2097415477037,0.01419354882091,31.35300064087,-0.6783155202866,726.5275268555,1,0,0,0,0.1093439385295,0.1769383698702,0.1431411504745,0.25,0.2951000034809,1006,0,0.1868787258863,0.002690399764106
72,0.0,2369,31.47900009155,1.247663497925,6,0.01590457186103,0.1451292186975,0,0.6312127113342,0.006958250422031,0,0.02683896571398,2.353588115511e-06,0.2097415477037,0.01139721367508,31.47900009155,-0.6783155202866,1034.391723633,4,5,0,2,0.1143141165376,0.1789264380932,0.1471173018217,0.2169999927282,0.2948749959469,1006,0,0.1888667941093,0.002768436446786
73,0.0,2345,31.72249984741,1.255813956261,6,0.01491053681821,0.1421471238136,0,0.4254473149776,0.004970178939402,0,0.02982107363641,2.968376520585e-06,0.2127236574888,0.01066098082811,31.72249984741,-0.6721842288971,896.010559082,9,3,0,2,0.1172962263227,0.1848906576633,0.1481113284826,0.4614999890327,0.2947300076485,1006,0,0.1978131234646,0.002873413497582
74,0.0,2202,31.86549949646,1.258064508438,7,0.01491053681821,0.1590457260609,0,0.5069582462311,0.002982107456774,0,0.03280318155885,3.838395059574e-06,0.2137176990509,0.01089918240905,31.86549949646,-0.6701595187187,1189.30090332,9,3,0,1,0.1212723627687,0.1908548772335,0.1530815064907,0.1870000064373,0.3082849979401,1006,0,0.2007952332497,0.002984894439578
